ARSSINFRA,EQ,Shares,22.35
ARTEMISMED,EQ,Shares,40.95
ARTNIRMAN,EQ,Shares,62.1
ARVEE,EQ,Shares,79.15
ARVIND,EQ,Shares,90.85
ARVINDFASN,EQ,Shares,260.4
ARVSMART,EQ,Shares,153.75
ASAHIINDIA,EQ,Shares,545.25
ASAHISONG,EQ,Shares,294.5
ASAL,EQ,Shares,485.1
ASALCBR,EQ,Shares,444.1
ASHAPURMIN,EQ,Shares,100.35
ASHIANA,EQ,Shares,121.75
ASHIMASYN,EQ,Shares,11.5
ASHOKA,EQ,Shares,72.8
ASHOKLEY,EQ,Shares,146.3
ASIANENE,EQ,Shares,86.95
ASIANHOTNR,EQ,Shares,80.65
ASIANPAINT,EQ,Shares,2773.15
ASIANTILES,EQ,Shares,40.75
ASPINWALL,EQ,Shares,164.05
ASTEC,EQ,Shares,1867.2
ASTERDM,EQ,Shares,175.65
ASTRAL,EQ,Shares,1657.65
ASTRAMICRO,EQ,Shares,195.7
ASTRAZEN,EQ,Shares,2719.85
ASTRON,EQ,Shares,39.9
ATFL,EQ,Shares,849.9
ATGL,EQ,Shares,2389
ATLANTA,EQ,Shares,14.7
ATUL,EQ,Shares,8023.85
ATULAUTO,EQ,Shares,170.15
AUBANK,EQ,Shares,578.9
AURIONPRO,EQ,Shares,251.8
AUROPHARMA,EQ,Shares,522.45
AURUM,EQ,Shares,77.9
AURUMPP,EQ,Shares,21.35
AUSOMENT,EQ,Shares,64.55
AUTOAXLES,EQ,Shares,1725.3
AUTOBEES,EQ,Shares,118.05
AUTOIND,EQ,Shares,60.4
AVADHSUGAR,EQ,Shares,523.5
AVANTIFEED,EQ,Shares,435.2
AVROIND,EQ,Shares,117
AVTNPL,EQ,Shares,94.25
AWHCL,EQ,Shares,283
AWL,EQ,Shares,586
AXISBANK,EQ,Shares,643.95
AXISBNKETF,EQ,Shares,338.5
AXISBPSETF,EQ,Shares,10.3
AXISCADES,EQ,Shares,116.3
AXISCETF,EQ,Shares,68.53
AXISGOLD,EQ,Shares,44.36
AXISHCETF,EQ,Shares,75.75
AXISNIFTY,EQ,Shares,166.15
AXISTECETF,EQ,Shares,288
AXITA,EQ,Shares,235.65
AYMSYNTEX,EQ,Shares,93.3
BAFNAPH,EQ,Shares,115
BAGFILMS,EQ,Shares,5.25
BAJAJ-AUTO,EQ,Shares,3624.6
BAJAJCON,EQ,Shares,137.25
BAJAJELEC,EQ,Shares,1041.55
BAJAJFINSV,EQ,Shares,11322.55
BAJAJHCARE,EQ,Shares,278.65
BAJAJHIND,EQ,Shares,13.05
BAJAJHLDNG,EQ,Shares,4569.3
BAJFINANCE,EQ,Shares,5614.4
BALAJITELE,EQ,Shares,40.4
BALAMINES,EQ,Shares,2887.45
BALAXI,EQ,Shares,355.3
BALKRISHNA,EQ,Shares,32.3
BALKRISIND,EQ,Shares,2172.05
BALLARPUR,EQ,Shares,1.45
BALMLAWRIE,EQ,Shares,107.9
BALPHARMA,EQ,Shares,95.3
BALRAMCHIN,EQ,Shares,361.7
BANARBEADS,EQ,Shares,71.45
BANARISUG,EQ,Shares,2166.95
BANCOINDIA,EQ,Shares,175.3
BANDHANBNK,EQ,Shares,264.85
BANG,EQ,Shares,39.65
BANKA,EQ,Shares,64
BANKBARODA,EQ,Shares,96.95
BANKBEES,EQ,Shares,339.31
BANKINDIA,EQ,Shares,44.75
BANSWRAS,EQ,Shares,210
BARBEQUE,EQ,Shares,1058.8
BARTRONICS,EQ,Shares,3.9
BASF,EQ,Shares,2735.25
BASML,EQ,Shares,52.25
BATAINDIA,EQ,Shares,1701.6
BAYERCROP,EQ,Shares,5075.65
BBETF0432,EQ,Shares,981.34
BBL,EQ,Shares,1623.6
BBOX,EQ,Shares,146.25
BBTC,EQ,Shares,920.05
BBTCL,EQ,Shares,235
BCG,EQ,Shares,32.9
BCLIND,EQ,Shares,379.85
BCONCEPTS,EQ,Shares,122.75
BCP,EQ,Shares,4.25
BDL,EQ,Shares,667.2
BEARDSELL,EQ,Shares,15.15
BECTORFOOD,EQ,Shares,279.35
BEDMUTHA,EQ,Shares,70.3
BEL,EQ,Shares,229.8
BEML,EQ,Shares,1276
BEPL,EQ,Shares,106.1
BERGEPAINT,EQ,Shares,582.25
BESTAGRO,EQ,Shares,850.8
BETA,EQ,Shares,680.3
BFINVEST,EQ,Shares,255.5
BFUTILITIE,EQ,Shares,300.65
BGRENERGY,EQ,Shares,63.3
BHAGCHEM,EQ,Shares,912.1
BHAGERIA,EQ,Shares,172.05
BHAGYANGR,EQ,Shares,38.75
BHAGYAPROP,EQ,Shares,39.45
BHANDARI,EQ,Shares,5.85
BHARATFORG,EQ,Shares,645.8
BHARATGEAR,EQ,Shares,138.85
BHARATRAS,EQ,Shares,11068.9
BHARATWIRE,EQ,Shares,57.75
BHARTIARTL,EQ,Shares,673.45
BHEL,EQ,Shares,45.65
BIGBLOC,EQ,Shares,108.05
BIL,EQ,Shares,160.15
BINDALAGRO,EQ,Shares,23.5
BIOCON,EQ,Shares,311.55
BIOFILCHEM,EQ,Shares,50.05
BIRET,EQ,Shares,325.03
BIRLACABLE,EQ,Shares,107.45
BIRLACORPN,EQ,Shares,838.5
BIRLAMONEY,EQ,Shares,53.4
BKMINDST,EQ,Shares,1.95
BLBLIMITED,EQ,Shares,18.15
BLISSGVS,EQ,Shares,72.05
BLKASHYAP,EQ,Shares,19
BLS,EQ,Shares,195.25
BLUEDART,EQ,Shares,7824.9
BLUESTARCO,EQ,Shares,896.15
BMETRICS,EQ,Shares,528.1
BODALCHEM,EQ,Shares,82.1
BOMDYEING,EQ,Shares,93.65
BOROLTD,EQ,Shares,280.95
BORORENEW,EQ,Shares,605.8
BOSCHLTD,EQ,Shares,15686.3
BPCL,EQ,Shares,318.35
BPL,EQ,Shares,62.4
BRIGADE,EQ,Shares,443.7
BRIGHT,EQ,Shares,4.5
BRITANNIA,EQ,Shares,3584.35
BRITANNIA,EQ,Shares,32
BRITANNIA,EQ,Shares,28.06
CG2036,DEBT,Bonds,108.65
IRFC27,DEBT,Bonds,115.9259
CG2026,DEBT,Bonds,102.2664
CG2023,DEBT,Bonds,100.4959
CG2024,DEBT,Bonds,100.8021
IRFC26,DEBT,Bonds,104.8106
CG2024,DEBT,Bonds,99.0858
CG2027,DEBT,Bonds,98.8959
PGC26,DEBT,Bonds,100.1431
PGC23,DEBT,Bonds,100.117
PGC24,DEBT,Bonds,100.121
PGC25,DEBT,Bonds,100.1325
CG2032,DEBT,Bonds,107.1
CG2026,DEBT,Bonds,117.3
IRFC31,DEBT,Bonds,108.26
PFC22,DEBT,Bonds,96.5251
CG2028,DEBT,Bonds,91.5502
CG2028,DEBT,Bonds,90.7024
CG2023,DEBT,Bonds,99.8999
CG2023,DEBT,Bonds,101.6646
IRFC26,DEBT,Bonds,100
CG2025,DEBT,Bonds,0
CG2022,DEBT,Bonds,100.8742
CG2034,DEBT,Bonds,102.0822
CG2035,DEBT,Bonds,105.95
CG2022,DEBT,Bonds,104.84
CG2026,DEBT,Bonds,100.2387
IRFC22,DEBT,Bonds,0
CG2022,DEBT,Bonds,100.2785
CG2027,DEBT,Bonds,104.1364
CG2022,DEBT,Bonds,101.8822
CG2027,DEBT,Bonds,104.9407
CG2032,DEBT,Bonds,107.859
PNBH23,DEBT,Bonds,104
PGC23,DEBT,Bonds,104.9241
CG2025,DEBT,Bonds,101.2072
PGC22,DEBT,Bonds,99.8102
CG2024,DEBT,Bonds,92.9854
PGC23,DEBT,Bonds,101.1614
PGC24,DEBT,Bonds,99.6655
BOB24,DEBT,Bonds,0
IDBI22,DEBT,Bonds,0
CG2022,DEBT,Bonds,85.7319
IRFC23,DEBT,Bonds,98.2734
CG2023,DEBT,Bonds,100.148
PGC23,DEBT,Bonds,103.4642
IRFC23,DEBT,Bonds,111.5741
CG2024,DEBT,Bonds,101.195
CG2022,DEBT,Bonds,99.5482
CG2027,DEBT,Bonds,103.9101
CG2032,DEBT,Bonds,106.1
CG2025,DEBT,Bonds,100.471
CG2032,DEBT,Bonds,112.744
CG2023,DEBT,Bonds,84
IRFC23,DEBT,Bonds,100.9466
IRFC24,DEBT,Bonds,101.3353
CG2024A,DEBT,Bonds,99.401
PIDB24,DEBT,Bonds,0
PIDB25,DEBT,Bonds,0
PIDB26,DEBT,Bonds,0
PIDB27,DEBT,Bonds,0
PIDB28,DEBT,Bonds,0
PIDB29,DEBT,Bonds,0
PIDB30,DEBT,Bonds,0
PIDB33,DEBT,Bonds,0
IDBI29,DEBT,Bonds,0
IIFC24A,DEBT,Bonds,0
IIFC24,DEBT,Bonds,98.1933
IIFC24,DEBT,Bonds,0
CG2040,DEBT,Bonds,115.3421
PFC25,DEBT,Bonds,99.2175
PFC30,DEBT,Bonds,105.07
IRFC30,DEBT,Bonds,104.6442
IRFC31,DEBT,Bonds,0
IRFC31,DEBT,Bonds,0
IRFC32,DEBT,Bonds,0
IRFC32,DEBT,Bonds,0
IRFC33,DEBT,Bonds,0
IRFC33,DEBT,Bonds,0
IRFC34,DEBT,Bonds,0
ICIC25,DEBT,Bonds,0
NTPC22,DEBT,Bonds,0
NTPC23,DEBT,Bonds,0
NTPC24,DEBT,Bonds,0
NTPC25,DEBT,Bonds,0
NTPC26,DEBT,Bonds,0
NTPC27,DEBT,Bonds,0
NTPC28,DEBT,Bonds,0
NTPC29,DEBT,Bonds,0
NTPC30,DEBT,Bonds,0
PGC22A,DEBT,Bonds,96.6773
PGC23A,DEBT,Bonds,96.5196
PGC24A,DEBT,Bonds,96.3672
PGC25A,DEBT,Bonds,101.8657
PFC25,DEBT,Bonds,95.9922
PFC30,DEBT,Bonds,105.5262
APPF22,DEBT,Bonds,0
IRED25,DEBT,Bonds,0
IRFC25,DEBT,Bonds,99.4576
EURINR,FX,Derivatives,82.7392
EURUSD,FX,Derivatives,1.0461
GBPINR,FX,Derivatives,95.245
JPYINR,FX,Derivatives,58.62
USDINR,FX,Derivatives,79.094
GBPUSD,FX,Derivatives,1.2132
JPYUSD,FX,Derivatives,134.88
